# ----------------------------------------
# Páginas e telas: Caminho da página e classe da tela
# Conta: CRP SP
# Propriedade: Site - GA4
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20241006
# Data de término: 20251006
Caminho da página e classe da tela,Visualizações,Usuários ativos,Visualizações por usuário ativo,Tempo médio de engajamento por usuário ativo,Contagem de eventos,Eventos principais,Receita total
/impresso/view/446,27,22,1.2272727272727273,10.863636363636363,51,0,0
/impresso/view/480,26,21,1.2380952380952381,15.476190476190476,55,0,0
/impresso/view/131/referencias-tecnicas-sobre-a-pratica-de-psicologas-os-no-centro-de-referencia-especializado-da-assistencia-social-creas,25,22,1.1363636363636365,11.727272727272727,50,0,0
/impresso/view/524/atendimento-psicologico-on-line-2,25,24,1.0416666666666667,5.5,51,0,0
/impresso/view/57,25,21,1.1904761904761905,7.761904761904762,47,0,0
/impresso/view/72/medicalizacao-de-criancas-e-adolescentes,25,16,1.5625,33.375,48,0,0
/impresso/view/102/referencias-tecnicas-para-atuacao-doa-psicologoa-no-crassuas,24,14,1.7142857142857142,10,45,0,0
/impresso/view/222,24,23,1.0434782608695652,5.3478260869565215,89,0,0
/impresso/view/447,24,24,1,10.333333333333334,47,0,0
/impresso/view/475,24,21,1.1428571428571428,15.142857142857142,57,0,0
/impresso/view/52,24,21,1.1428571428571428,7.428571428571429,47,0,0
/impresso/view/393,23,18,1.2777777777777777,4.388888888888889,44,0,0
/impresso/view/410/legislacao-e-informacoes,23,19,1.2105263157894737,24.526315789473685,43,0,0
/impresso/view/494,23,21,1.0952380952380953,21.333333333333332,50,0,0
/impresso/view/501,23,22,1.0454545454545454,8.909090909090908,48,0,0
/impresso/view/513/publicidade-profissional-2,23,15,1.5333333333333334,12.066666666666666,46,0,0
/impresso/view/548,23,20,1.15,8.65,47,0,0
/impresso/view/76/psicologia-espiritualidade-e-epistemologias-nao-hegemonicas,23,18,1.2777777777777777,13.88888888888889,48,0,0
/impresso/view/127,22,21,1.0476190476190477,6.714285714285714,50,0,0
/impresso/view/491,22,20,1.1,7.65,55,0,0
/impresso/view/499,22,17,1.2941176470588236,6.705882352941177,46,0,0
/impresso/view/75,22,16,1.375,12.3125,45,0,0
/uploads/impresso/291437/8FdV2_PznwJj_yWeEpIqVMvzBXJjyxI9.pdf,22,16,1.375,2.125,60,0,0
/impresso/view/145/50-anos-da-psicologia-no-brasil-a-historia-da-psicologia-no-pais,21,17,1.2352941176470589,7.764705882352941,48,0,0
/impresso/view/402,21,16,1.3125,31.5,42,0,0
/impresso/view/461,21,16,1.3125,26.0625,49,0,0
/impresso/view/56,21,20,1.05,5.5,43,0,0
/uploads/impresso/2493/uPeYNEH4PE4ZixoO-,21,10,2.1,2,50,0,0
/impresso/view/1,20,19,1.0526315789473684,35.578947368421055,45,0,0
/impresso/view/517/inscricao-secundaria-2,20,17,1.1764705882352942,15.764705882352942,38,0,0
/impresso/view/542,20,18,1.1111111111111112,10.666666666666666,41,0,0
/impresso/view/77,20,19,1.0526315789473684,19.31578947368421,38,0,0
/impresso/view/150/caderno-de-orientacoes-do-crp-sp-para-atuacao-de-psicologasos-na-assistencia-social,19,13,1.4615384615384615,7.6923076923076925,42,0,0
/impresso/view/388,19,13,1.4615384615384615,10.461538461538462,34,0,0
/impresso/view/426/atuacao-em-consultorio-psicologico,19,14,1.3571428571428572,8.142857142857142,38,0,0
/impresso/view/474,19,14,1.3571428571428572,10.714285714285714,38,0,0
/impresso/view/475/referencias-tecnicas-para-atuacao-de-psicologasos-em-varas-de-familia,19,11,1.7272727272727273,8.454545454545455,32,0,0
/impresso/view/530,19,15,1.2666666666666666,52.4,38,0,0
/impresso/view/78/laicidade-religiao-direitos-humanos-e-politicas-publicas,19,15,1.2666666666666666,9.533333333333333,35,0,0
/impresso/materia/17/manual-de-orientacoes-2014,18,17,1.0588235294117647,22,48,0,0
/impresso/view/124,18,15,1.2,10.866666666666667,40,0,0
/impresso/view/378,18,12,1.5,4.25,34,0,0
/impresso/view/473,18,16,1.125,6.25,40,0,0
/impresso/view/488/referencias-tecnicas-para-atuacao-de-psicologasos-na-rede-de-protecao-as-criancas-e-adolescentes-em-situacao-de-violencia-sexual,18,16,1.125,11.8125,36,0,0
/impresso/view/503,18,17,1.0588235294117647,8.411764705882353,46,0,0
/impresso/view/539,18,16,1.125,11.25,38,0,0
/impresso/view/563/cartilha-para-producao-de-documentos-escritos-anticapacitistas,18,15,1.2,7.466666666666667,33,0,0
/impresso/view/60,18,16,1.125,15.0625,43,0,0
/impresso/view/2,17,14,1.2142857142857142,10.5,35,0,0
/impresso/view/408,17,16,1.0625,12,36,0,0
/impresso/view/413,17,16,1.0625,12,33,0,0
/uploads/impresso/804/NTnKKon8L,17,5,3.4,23,37,0,0
/impresso/view/379,16,10,1.6,7.4,29,0,0
/impresso/view/498,16,14,1.1428571428571428,6.428571428571429,32,0,0
/impresso/view/553,16,14,1.1428571428571428,29.214285714285715,32,0,0
/impresso/view/409,15,12,1.25,16,30,0,0
/impresso/view/410,15,15,1,12.933333333333334,29,0,0
/impresso/view/463/direitos-humanos-e-protecao-integral-das-pessoas-afetadas-por-desastres-socioambientais,15,10,1.5,73.1,32,0,0
/impresso/view/126/referencias-tecnicas-para-atuacao-de-psicologasos-na-educacao-basica,14,9,1.5555555555555556,28.666666666666668,28,0,0
/impresso/view/127/referencias-tecnicas-para-a-atuacao-de-psicologasos-no-caps-centro-de-atencao-psicossocial,14,11,1.2727272727272727,13.090909090909092,27,0,0
/impresso/view/223/parametros-para-atuacao-de-assistentes-sociais-e-psicologosas-na-politica-de-assistencia-social,14,6,2.3333333333333335,15.833333333333334,28,0,0
/impresso/view/358,14,10,1.4,21.9,32,0,0
/impresso/view/386,14,10,1.4,19.9,24,0,0
/impresso/view/387,14,9,1.5555555555555556,5.555555555555555,31,0,0
/impresso/view/391,14,9,1.5555555555555556,5.888888888888889,26,0,0
/impresso/view/394,14,11,1.2727272727272727,15.818181818181818,30,0,0
/impresso/view/411,14,14,1,15.714285714285714,28,0,0
/impresso/view/458/vol-33---patologizacao-e-medicalizacao-das-vidas-reconhecimento-e-enfrentamento---parte-1,14,13,1.0769230769230769,32.84615384615385,41,0,0
/impresso/view/46,14,14,1,15.5,30,0,0
/impresso/view/473/documento-de-orientacao-crp-06-n-0022019,14,12,1.1666666666666667,15.833333333333334,29,0,0
/impresso/view/491/referencias-tecnicas-para-atuacao-de-psicologasos-nos-servicos-hospitalares-do-sus,14,12,1.1666666666666667,8.75,34,0,0
/impresso/view/503/referencias-tecnicas-para-atuacao-de-psicologasos-na-gestao-integral-de-riscos-emergencias-e-desastres,14,9,1.5555555555555556,8.222222222222221,33,0,0
/impresso/view/51,14,11,1.2727272727272727,8.181818181818182,30,0,0
/impresso/view/540,14,13,1.0769230769230769,14.846153846153847,28,0,0
/impresso/view/549/manual-de-producao-de-prontuarios-e-documentos-escritos,14,13,1.0769230769230769,32.30769230769231,26,0,0
/impresso/view/568,14,10,1.4,11.3,26,0,0
/impresso/view/58,14,11,1.2727272727272727,12.545454545454545,29,0,0
/impresso/view/80,14,10,1.4,7.4,38,0,0
